index.html	true
index.css	true
index.dat	true
index.png	true
sitemap.xml	true
sb-file2url.txt	true
sb-url2name.txt	true
sms-4.ico	http://goesse.com/demos/html/news/img/sms-4.ico
logo.png	http://goesse.com/demos/html/news/img/logo.png
1.png	http://goesse.com/demos/html/news/img/flexslider/1.png
3.png	http://goesse.com/demos/html/news/img/flexslider/3.png
5.png	http://goesse.com/demos/html/news/img/flexslider/5.png
4.png	http://goesse.com/demos/html/news/img/flexslider/4.png
2.png	http://goesse.com/demos/html/news/img/flexslider/2.png
6.png	http://goesse.com/demos/html/news/img/flexslider/6.png
3_001.png	http://goesse.com/demos/html/news/img/trash/3.png
4_001.png	http://goesse.com/demos/html/news/img/trash/4.png
5_001.png	http://goesse.com/demos/html/news/img/trash/5.png
6_001.png	http://goesse.com/demos/html/news/img/trash/6.png
7.png	http://goesse.com/demos/html/news/img/trash/7.png
8.png	http://goesse.com/demos/html/news/img/trash/8.png
9.png	http://goesse.com/demos/html/news/img/trash/9.png
10.png	http://goesse.com/demos/html/news/img/trash/10.png
11.png	http://goesse.com/demos/html/news/img/trash/11.png
12.png	http://goesse.com/demos/html/news/img/trash/12.png
24.png	http://goesse.com/demos/html/news/img/trash/24.png
13.png	http://goesse.com/demos/html/news/img/trash/13.png
14.png	http://goesse.com/demos/html/news/img/trash/14.png
15.png	http://goesse.com/demos/html/news/img/trash/15.png
16.png	http://goesse.com/demos/html/news/img/trash/16.png
25.png	http://goesse.com/demos/html/news/img/trash/25.png
26.png	http://goesse.com/demos/html/news/img/trash/26.png
17.png	http://goesse.com/demos/html/news/img/trash/17.png
18.png	http://goesse.com/demos/html/news/img/trash/18.png
19.png	http://goesse.com/demos/html/news/img/trash/19.png
20.png	http://goesse.com/demos/html/news/img/trash/20.png
21.png	http://goesse.com/demos/html/news/img/trash/21.png
27.png	http://goesse.com/demos/html/news/img/trash/27.png
23.png	http://goesse.com/demos/html/news/img/trash/23.png
22.png	http://goesse.com/demos/html/news/img/trash/22.png
435995900.jpg	https://i.vimeocdn.com/video/435995900.jpg?mw=300&mh=170
player.js	https://f.vimeocdn.com/p/2.25.5/js/player.js
ga.js	https://ssl.google-analytics.com/ga.js
vuid.min.js	https://f.vimeocdn.com/js_opt/modules/utils/vuid.min.js
3_002.png	http://goesse.com/demos/html/news/img/banner/3.png
1_001.png	http://goesse.com/demos/html/news/img/banner/1.png
2_001.png	http://goesse.com/demos/html/news/img/banner/2.png
4_002.png	http://goesse.com/demos/html/news/img/banner/4.png
tf_300x250_v1.gif	http://goesse.com/demos/html/news/img/tf_300x250_v1.gif
ro-vegz6q4r.js	https://www.facebook.com/rsrc.php/v2/yO/r/ro-VEgz6Q4r.js
fthucjvtmot.js	https://www.facebook.com/rsrc.php/v2i90g4/yB/l/vi_VN/fTHUCJVTMot.js
vs4zz4fhedh.js	https://www.facebook.com/rsrc.php/v2iqa34/yA/l/vi_VN/VS4Zz4fheDH.js
f6jxh5wajcu.js	https://www.facebook.com/rsrc.php/v2iLA14/y7/l/vi_VN/F6Jxh5waJCu.js
czaceuzl4fy.js	https://www.facebook.com/rsrc.php/v2iQ3Z4/yp/l/vi_VN/CZAceUZl4Fy.js
fszeykwlrv2.js	https://www.facebook.com/rsrc.php/v2/y_/r/fszEyKwLRv2.js
tv4hrxf6rn_.js	https://www.facebook.com/rsrc.php/v2/yM/r/Tv4hrxf6RN_.js
rw3jjnydcvp.js	https://www.facebook.com/rsrc.php/v2/y7/r/RW3jjNydCvP.js
4iyvm-ikxdw.js	https://www.facebook.com/rsrc.php/v2iqTF4/yG/l/vi_VN/4iYVm-ikxDW.js
qdu0vibg-st.js	https://www.facebook.com/rsrc.php/v2i7d-4/yb/l/vi_VN/qDU0VIBg-sT.js
ebr72c0pfga.js	https://www.facebook.com/rsrc.php/v2ieNr4/y0/l/vi_VN/ebr72c0PFGa.js
z_wbz2rrssj.js	https://www.facebook.com/rsrc.php/v2idqC4/yz/l/vi_VN/z_wBz2RRSSj.js
l9-cfx0ce8j.js	https://www.facebook.com/rsrc.php/v2iXKb4/y7/l/vi_VN/l9-cfx0Ce8J.js
k5fp8t6dbao.js	https://www.facebook.com/rsrc.php/v2iCFJ4/yF/l/vi_VN/K5FP8T6DbAo.js
12744575_10154031976586209_6876621798481445305_n.png	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p130x130/12744575_10154031976586209_6876621798481445305_n.png?oh=0b61fc00c56a9ec2b4d3cc91269f1d56&oe=57DF5AF7
1625533_10152722367261209_1813584107279801208_n.png	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-1/p50x50/1625533_10152722367261209_1813584107279801208_n.png?oh=5d1d8af7a155fc1eca9636472170e98d&oe=57CB0845
12832569_1701940463410351_15893154593476417_n.jpg	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-1/p50x50/12832569_1701940463410351_15893154593476417_n.jpg?oh=d537d880802dcf6ed3c4f1c5b0731cb8&oe=57C80A78
11196352_1626901017555266_5677609144997121495_n.jpg	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-1/p50x50/11196352_1626901017555266_5677609144997121495_n.jpg?oh=51cc361025ad2d5b959fe8137802b748&oe=57D329F0
12806111_455731731287136_8871753514875835095_n.jpg	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p50x50/12806111_455731731287136_8871753514875835095_n.jpg?oh=33b50731f0ad660c35b58cf3367ef53b&oe=57C580E3&__gda__=1473918853_5c0cb36ca997c3cb701e7b3645f96012
1209407_10151675605239217_605427525_n.jpg	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c13.0.50.50/p50x50/1209407_10151675605239217_605427525_n.jpg?oh=68440b67b6c1eac4a571f40bddc6b305&oe=57E0D1F8&__gda__=1473010938_e06c6d399ebb2aae1c12e3d35e260c73
8353_1157810997604477_3904130320776616969_n.jpg	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-1/p50x50/8353_1157810997604477_3904130320776616969_n.jpg?oh=73f3563f94f6d682209b382e37927dd2&oe=57D58096
13087519_10154143898798103_7008822825477546443_n.jpg	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xlt1/v/t1.0-1/p50x50/13087519_10154143898798103_7008822825477546443_n.jpg?oh=9850436e9a5a9e9793c87e28347c7799&oe=57C35312&__gda__=1477220693_1de739c4ad52965b86bc333e698d564a
10354686_10150004552801856_220367501106153455_n.jpg	https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-1/c15.0.50.50/p50x50/10354686_10150004552801856_220367501106153455_n.jpg?oh=b9886b51fbe1a2e256724fb9392c8005&oe=57D4EC2F
wl6vqj7ab77.png	https://www.facebook.com/rsrc.php/v2/y1/r/wL6VQj7Ab77.png
x-_jt0czfob.png	https://www.facebook.com/rsrc.php/v2/yQ/r/x-_JT0cZFOb.png
efrktvrvpx9.png	https://www.facebook.com/rsrc.php/v2/y6/r/eFrKTvRvpX9.png
ihdxzr4uqo6.png	https://www.facebook.com/rsrc.php/v2/yu/r/ihdxZr4UqO6.png
